iops,lat,block_size,n_jobs,iodepth,read_fraction,load_type,io_type,raid,n_disks,device_type,offset,id
712511,386627.74,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709311,388112.33,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712464,386384.72,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711226,387053.72,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710919,387191.78,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
707918,388778.52,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
706162,389796.43,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712662,386202.52,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709109,388182.22,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
708524,388477.78,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711975,386623.24,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711388,386974.41,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
708937,388301.24,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711917,386648.04,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712748,386234.09,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711562,386855.57,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
705944,389883.11,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709486,387946.39,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710639,387360.39,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709118,388123.09,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
706793,389382.3,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
705002,390349.07,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
708260,388588.65,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
707495,388980.04,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
708225,388523.54,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712495,386285.72,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710789,387222.07,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712068,386490.04,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710270,387500.48,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
714395,385206.3,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710889,387235.83,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712718,386271.96,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711405,386991.83,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
713102,386036.39,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709679,387996.15,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
708093,388839.78,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
706846,389467.35,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710305,387595.15,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712993,386056.09,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
707018,389408.8,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709387,388039.85,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
710247,387716.85,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
715324,384926.37,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711713,386821.09,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711774,386816.13,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
714893,385286.61,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
718333,383504.2,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
713772,385743.63,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
711158,387164.96,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
714828,385173.61,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
713355,386049.07,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
709900,387902.02,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
707939,388922.52,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
715539,384800.57,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
714019,385705.28,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
715169,384920.72,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
705835,390127.37,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712912,386187.85,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
712114,386530.33,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
98927,377499.7,8,46,6,100,random,read,4+1,24,nvme,0,hse-09142022-013313-z3769
334712,380686.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334628,379908.83,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333889,381088.89,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333563,381778.0,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
331922,384568.56,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333678,380726.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
331870,383169.11,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334807,378714.83,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333914,380444.11,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333728,380894.28,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337507,377083.06,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334837,379988.72,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334684,379947.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
332619,382270.39,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
331190,382436.78,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
332430,380809.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
330398,382523.78,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
336215,378101.61,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
336185,376822.17,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335213,378127.61,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335326,378324.06,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335329,379236.17,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
329608,383567.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
326072,388277.06,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333111,382371.22,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334464,380381.44,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
336168,378833.22,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335449,377958.83,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334985,378669.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334393,379340.39,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337513,376808.72,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337539,375836.78,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
340084,373419.61,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
339223,375591.0,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
338369,374737.44,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337386,375662.11,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333349,379419.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334095,380141.61,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337509,377877.0,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337284,377936.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334371,380530.78,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334490,379040.67,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
336305,378105.44,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334603,379970.39,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337921,376684.44,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
336085,377336.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335506,379119.72,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
337919,375573.11,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
330693,382770.17,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
331998,381790.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333627,381330.61,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335581,378972.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334340,381867.56,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
333367,381462.67,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
335570,379609.89,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
331115,385220.83,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
329481,384840.94,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
326760,389271.5,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
334519,381196.11,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
298723,381195.89,16,18,11,75,random,read,4+1,24,nvme,0,hse-09132022-220621-z47654
112071,626907.78,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
112116,628319.0,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111846,628514.5,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111223,630791.5,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
110483,633214.89,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111816,630511.78,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
110360,638869.28,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111709,634621.22,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111684,633214.33,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111385,633552.61,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
112121,628406.06,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111124,634239.94,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111717,629993.39,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
110820,637471.44,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
109927,646159.61,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
110666,642249.06,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
110575,644657.67,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
111452,633537.44,16,18,11,75,random,write,4+1,24,nvme,0,hse-09132022-220621-z47654
